Winning_Team,Losing_Team,Winner_Location,Winning_Teams_Passing_Yards,Winning_Teams_Rushing_Yards,Winning_Teams_Sacks,Losing_Team_Penalty_Yards,Winning_Team_Turnover_Margin,Winning_Team_Total_Yrds,Winning_Defense_Special_Team_TD,Round,
Houston,LA Chargers,Home,1 to 50,101 to 150,1,-51 to -100,1,151 to 200,1,Wild Card,
Baltimore,Pittsburgh,Home,-51 to -100,251 to 300,3,1 to 50,0,151 to 200,0,Wild Card,
Buffalo,Denver,Home,101 to 150,101 to 150,0,-1 to -50,0,201 to 250,0,Wild Card,
Philadelphia,Green Bay,Home,-51 to -100,51 to 100,0,1 to 50,4,-1 to -50,0,Wild Card,
Washington,Tampa Bay,Away,51 to 100,-1 to -50,0,1 to 50,1,51 to 100,0,Wild Card,
LA Rams,Minnesota,Home,1 to 50,-1 to -50,7,-51 to -100,2,1 to 50,1,Wild Card,
Kansas City,Houston,Home,-1 to -50,-51 to -100,5,-51 to -100,0,-101 to -150,0,Divisional,
Washington,Detroit,Away,-1 to -50,-1 to -50,2,-1 to -50,5,-1 to -50,1,Divisional,
Philadelphia,LA Rams,Home,-201 to -250,150 to 200,-2,1 to 50,2,-51 to -100,0,Divisional,
Buffalo,Baltimore,Home,-101 to -150,-1 to -50,1,1 to 50,3,-101 to -150,0,Divisional,
,,,,,,,,,,Championship,
,,,,,,,,,,Championship,
,,,,,,,,,,Super Bowl,
Houston,Cleveland,Home,1 to 50,1 to 50,4,1 to 50,2,1 to 50,2,Wild Card,
Kansas City,Miami,Home,51 to 100,51 to 100,2,-1 to -50,0,101 to 150,0,Wild Card,
Green Bay,Dallas,Away,-101 to -150,1 to 50,4,-1 to -50,2,-51 to -100,1,Wild Card,
Detroit,LA Rams,Home,-101 to -150,1 to 50,-1,1 to 50,0,-51 to -100,0,Wild Card,
Buffalo,Pittsburgh,Home,-1 to -50,51 to 100,-1,1 to 50,2,1 to 50,0,Wild Card,
Tampa Bay,Philadelphia,Home,51 to 100,51 to 100,-1,1 to 50,0,101 to 150,0,Wild Card,
Baltimore,Houston,Home,-51 to -100,150 to 200,-3,51 to 100,0,101 to 150,0,Divisional,
San Francisco,Green Bay,Home,51 to 100,-1 to -50,-1,51 to 100,2,1 to 50,0,Divisional,
